# Z=6	: 0.272916
# Z=8	: 0.727084
#
#       PHOTON      SCATTERING      PHOTO-    PAIR PRODUCTION  TOTAL ATTENUATION
#       ENERGY   COHERENT INCOHER. ELECTRIC    IN       IN       WITH   WITHOUT
#                                 ABSORPTION NUCLEAR ELECTRON  COHERENT COHERENT
#                                             FIELD    FIELD    SCATT.   SCATT.
#         (MeV)    (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)
#
       6.000E+03 1.565E-12 7.074E-05 1.896E-10 1.807E-02 2.806E-03 2.094E-02 2.094E-02
       8.000E+03 8.805E-13 5.449E-05 1.422E-10 1.812E-02 2.823E-03 2.100E-02 2.100E-02
       1.000E+04 5.635E-13 4.448E-05 1.138E-10 1.816E-02 2.834E-03 2.104E-02 2.104E-02
       1.500E+04 2.504E-13 3.075E-05 7.583E-11 1.821E-02 2.848E-03 2.109E-02 2.109E-02
       2.000E+04 1.408E-13 2.364E-05 5.688E-11 1.824E-02 2.857E-03 2.112E-02 2.112E-02
       3.000E+04 6.261E-14 1.630E-05 3.793E-11 1.827E-02 2.865E-03 2.115E-02 2.115E-02
       4.000E+04 3.522E-14 1.252E-05 2.844E-11 1.828E-02 2.871E-03 2.117E-02 2.117E-02
       5.000E+04 2.254E-14 1.019E-05 2.275E-11 1.829E-02 2.874E-03 2.117E-02 2.117E-02
       6.000E+04 1.565E-14 8.617E-06 1.896E-11 1.830E-02 2.876E-03 2.118E-02 2.118E-02
       8.000E+04 8.805E-15 6.608E-06 1.422E-11 1.830E-02 2.878E-03 2.119E-02 2.119E-02
       1.000E+05 5.635E-15 5.374E-06 1.138E-11 1.831E-02 2.879E-03 2.120E-02 2.120E-02
