#PSTAR: Stopping Powers and Range Tables for Protons
#
#POLYCARBONATE (MAKROLON, LEXAN)                                         
#
#Kinetic   Total     CSDA      Detour 
#Energy    Stp. Pow. Range     Factor 
#MeV       MeV cm2/g g/cm2            
#
9.000E+02 2.149E+00 2.950E+02 0.9993 
9.500E+02 2.121E+00 3.184E+02 0.9993 
1.000E+03 2.096E+00 3.421E+02 0.9993 
1.500E+03 1.958E+00 5.904E+02 0.9994 
2.000E+03 1.909E+00 8.496E+02 0.9995 
2.500E+03 1.892E+00 1.113E+03 0.9995 
3.000E+03 1.889E+00 1.378E+03 0.9996 
4.000E+03 1.901E+00 1.906E+03 0.9996 
5.000E+03 1.920E+00 2.429E+03 0.9997 
6.000E+03 1.940E+00 2.947E+03 0.9997 
7.000E+03 1.960E+00 3.460E+03 0.9997 
8.000E+03 1.979E+00 3.968E+03 0.9997 
9.000E+03 1.997E+00 4.471E+03 0.9998 
1.000E+04 2.014E+00 4.969E+03 0.9998 
